AssemblyAccession	Scientific.Name	taxID
GCF_002874535.1	Mesobacillus jeotgali	129985
GCF_003243025.1	Paenibacillus dendritiformis	130049
GCF_007830175.1	Sedimentibacter saalensis	130788
GCF_002155995.1	Crossiella equi	130796
GCF_003860075.1	Actinomyces bowdenii	131109
GCF_013407865.1	Schaalia turicensis	131111
GCF_900105865.1	Arcanobacterium phocae	131112
GCF_008704395.1	Streptomyces alboniger	132473
GCF_900105635.1	Pseudomonas kilonensis	132476
GCF_900105375.1	Rhodococcus jostii	132919
GCF_008086615.1	Acetobacterium tundrae	132932
GCF_003688665.1	Hydrogenothermus marinus	133270
GCF_900446905.1	Citrobacter youngae	133448
GCF_001682515.1	Acinetobacter gyllenbergii	134534
GCF_000383275.1	Paraburkholderia caledonica	134536
GCF_002891075.1	Paraburkholderia fungorum	134537
GCF_001187505.1	Mycolicibacterium goodii	134601
GCF_900143005.1	Cryptosporangium aurantiacum	134849
GCF_900188105.1	Actinomadura mexicana	134959
GCF_002846365.1	Nocardia fluminea	134984
GCF_002949635.1	Nocardia cyriacigeorgica	135487
GCF_003097575.1	Helicobacter apodemus	135569
GCF_003269955.1	Priestia endophytica	135735
GCF_001981305.1	Marinobacter lutaoensis	135739
GCF_009301415.1	Paracoccus kondratievae	135740
GCF_000829445.1	Jeotgalibacillus alimentarius	135826
GCF_001509495.1	Actinoplanes awajinensis subsp. mycoplanecinus	135947
GCF_014205225.1	Actinoplanes octamycinicus	135948
GCF_005402965.1	Dolichospermum planctonicum	136072
GCF_000786195.1	Kocuria polaris	136273
GCF_002874165.1	Vibrio lentus	136468
GCF_001021045.1	Corynebacterium testudinoris	136857
GCF_900107455.1	Asanoa ishikariensis	137265
GCF_900638135.1	Serratia quinivorans	137545
GCF_000948985.1	Thalassomonas viridans	137584
GCF_007785645.1	Weissella cibaria	137591
GCF_002847645.1	Falseniella ignava	137730
GCF_900111135.1	Granulicatella balaenopterae	137733
GCF_003364265.1	Helicobacter aurati	137778
GCF_014596995.1	Pseudoalteromonas flavipulchra	137779
GCF_900465025.1	Clostridium neonatale	137838
GCF_004138295.1	Ectobacillus funiculus	137993
GCF_009831785.2	Serratia symbiotica	138074
GCF_006542415.1	Kytococcus schroeteri	138300
GCF_004217455.1	Blastococcus saxobsidens	138336
GCF_003096095.1	Dietzia psychralcaliphila	139021
GCF_004087915.1	Geovibrio thiophilus	139438
GCF_008630015.1	Roseospira marina	140057
GCF_009601025.1	Roseospira navarrensis	140058
GCF_900067125.1	Trichococcus palustris	140314
GCF_001373395.1	Mycobacterium lentiflavum	141349
GCF_900221025.1	Chromohalobacter canadensis	141389
GCF_000761475.1	Chromohalobacter israelensis	141390
GCF_002162375.1	Oleiphilus messinensis	141451
GCF_014651735.1	Nocardiopsis kunsanensis	141693
GCF_004346265.1	Thermomonas haemolytica	141949
GCF_900111355.1	Isobaculum melis	142588
GCF_003383595.3	Metamycoplasma phocicerebrale	142649
GCF_004216495.1	Mycoplasmopsis phocirhinis	142650
GCF_003332325.1	[Mycoplasma] phocidae	142651
GCF_014174355.1	Gluconacetobacter azotocaptans	142834
GCF_900167185.1	Selenihalanaerobacter shriftii	142842
GCF_900142975.1	Salegentibacter salegens	143223
GCF_900156625.1	Zobellia uliginosa	143224
GCF_003019715.1	Fusobacterium necrophorum subsp. funduliforme	143387
GCF_900099925.1	Aneurinibacillus thermoaerophilus	143495
GCF_900103475.1	Maricaulis salignorans	144026
GCF_013359775.1	Cellulomonas humilata	144055
GCF_015351335.1	Corynebacterium afermentans subsp. lipophilum	144184
GCF_014190775.1	Leifsonia aquatica	144185
GCF_004362495.1	Nocardia ignorata	145285
GCF_002932415.1	Rathayibacter toxicus	145458
GCF_014137965.1	Frigoribacterium faeni	145483
GCF_900090325.1	Micromonospora pallida	145854
GCF_900091585.1	Micromonospora nigra	145857
GCF_010731295.1	Mycolicibacterium boenickei	146017
GCF_001245615.1	Mycolicibacterium neworleansense	146018
GCF_001570425.1	Mycolicibacterium brisbanense	146020
GCF_900078665.2	Mycolicibacterium houstonense	146021
GCF_900112555.1	Saccharopolyspora kobensis	146035
GCF_000963965.1	Acetobacter orientalis	146474
GCF_000963925.1	Acetobacter cibinongensis	146475
GCF_000964225.1	Acetobacter syzygii	146476
GCF_001513975.1	Streptomyces curacoi	146536
GCF_001270025.1	Streptomyces azureus	146537
GCF_900454895.1	Phocoenobacter uteri	146806
GCF_900104455.1	Dendrosporobacter quercicolus	146817
GCF_000988945.1	Streptomyces europaeiscabiei	146819
GCF_014873495.1	Streptomyces stelliscabiei	146820
GCF_002154675.1	Streptomyces reticuliscabiei	146821
GCF_001586235.1	Corynebacterium simulans	146827
GCF_003491185.1	Salinibacter ruber	146919
GCF_014673495.1	Streptomyces griseofuscus	146922
GCF_001660045.1	Streptomyces parvulus	146923
GCF_004217225.1	Azospira oryzae	146939
GCF_003634965.1	Azonexus fungiphilus	146940
GCF_900188225.1	Humidesulfovibrio mexicanus	147047
GCF_014647835.1	Microbispora rosea subsp. aerata	147065
GCF_902501455.1	Collinsella intestinalis	147207
GCF_009902005.1	Halomonas alimentaria	147248
GCF_002003265.1	Paenibacillus larvae subsp. larvae	147375
GCF_002749495.1	Paracoccus yeei	147645
GCF_003350005.1	Psychrobacter proteolyticus	147825
GCF_013410615.1	Leifsonia naganoensis	150025
GCF_013410375.1	Leifsonia shinshuensis	150026
GCF_001886195.1	Enterococcus ratti	150033
GCF_900475675.1	Streptococcus lutetiensis	150055
GCF_900458505.1	Mammaliicoccus fleurettii	150056
GCF_003855395.1	Shewanella livingstonensis	150120
GCF_900177685.1	Agreia pratensis	150121
GCF_003755125.1	Plantibacter flavus	150123
GCF_900107635.1	Flavobacterium gillisiae	150146
GCF_009687865.1	Acrocarpospora macrocephala	150177
GCF_900111795.1	Anoxybacillus pushchinoensis	150248
GCF_900205955.1	Clostridium thiosulfatireducens	150336
GCF_000024825.1	Vibrio antiquarius	150340
GCF_014138635.1	Aminobacter ciceronei	150723
GCF_007830545.1	Roseibium hamelinense	150831
GCF_000967625.1	Pseudoalteromonas ruthenica	151081
GCF_006717005.1	Bosea vestrisii	151416
GCF_004793775.1	Lactobacillus intestinalis	151781
GCF_007572485.1	Cupriavidus campinensis	151783
GCF_004216695.1	Pigmentiphaga kullae	151784
GCF_900176535.1	Pedobacter africanus	151894
GCF_001722355.1	Mycolicibacterium holsaticum	152142
GCF_007994985.1	Metabacillus litoralis	152268
GCF_002310795.1	Pseudoalteromonas issachenkonii	152297
GCF_001922025.1	Lentilactobacillus parabuchneri	152331
GCF_002276885.1	Lentilactobacillus parakefiri	152332
GCF_902829835.1	Burkholderia ambifaria	152480
GCF_003364255.1	Helicobacter marmotae	152490
GCF_900107845.1	Alkalimonas amylolytica	152573
GCF_002504265.1	Sphingomonas melonis	152682
GCF_900489835.1	Aequorivita antarctica	153266
GCF_007997135.1	Aequorivita lipolytica	153267
GCF_900445245.1	Alysiella crassa	153491
GCF_014054725.1	Conchiformibius steedae	153493
GCF_006715765.1	Rarobacter incanus	153494
GCF_001787355.1	Kozakia baliensis	153496
GCF_900114805.1	Agrococcus baldri	153730
GCF_007988825.1	Microbacterium aerolatum	153731
GCF_002101785.1	Mycobacterium palustre	153971
GCF_009721605.1	Hungatella hathewayi	154046
GCF_003814705.1	Georgenia muralis	154117
GCF_015550385.1	Turicibacter sanguinis	154288
GCF_003112775.1	Mycobacterium montefiorense	154654
GCF_001307765.1	Aliiroseovarius crassostreae	154981
GCF_002101335.1	Staphylococcus lutrae	155085
GCF_003148905.1	Fulvimonas soli	155197
GCF_000291095.1	Bacillus toyonensis	155322
GCF_902762915.1	Eubacterium pyruvativorans	155865
GCF_001761545.1	Weissella soli	155866
GCF_900111175.1	Actinokineospora terrae	155974
GCF_002934265.1	Actinokineospora auranticolor	155976
GCF_003386945.1	Halobacillus trueperi	156205
GCF_900142595.1	Streptomyces yunnanensis	156453
GCF_000014865.1	Magnetococcus marinus MC-1	156889
GCF_001936115.1	Boudabousia marimammalium	156892
GCF_001263755.1	Corynebacterium riegelii	156976
GCF_900187215.1	Corynebacterium imitans	156978
GCF_003143995.1	Pseudoglutamicibacter cumminsii	156979
GCF_003024475.1	Arthrobacter woluwensis	156980
GCF_014201095.1	Cellulomonas hominis	156981
GCF_900142205.1	Reichenbachiella agariperforans	156994
GCF_900067155.1	Trichococcus collinsii	157076
GCF_009831115.1	Salinicoccus hispanicus	157225
GCF_003387165.1	Jeotgalicoccus halotolerans	157227
GCF_014931175.1	Helicobacter winghamensis	157268
GCF_001047075.2	Fructobacillus ficulneus	157463
GCF_014200805.1	Nocardiopsis composta	157465
GCF_001586935.1	Sterolibacterium denitrificans	157592
GCF_007990545.2	Leptotrichia wadei	157687
GCF_008327825.1	Leptotrichia shahii	157691
GCF_007990505.1	Pseudoleptotrichia goodfellowii	157692
GCF_001039475.1	Alkalihalobacillus macyae	157733
GCF_002157205.1	Kushneria marisflavi	157779
GCF_014219065.1	Halopseudomonas xiamenensis	157792
GCF_001420715.1	Margalitia shackletonii	157838
GCF_900101795.1	Paraburkholderia tuberum	157910
GCF_000190435.1	Sphaerochaeta globosa str. Buddy	158189
GCF_000236685.1	Sphaerochaeta pleomorpha str. Grapes	158190
GCF_900111735.1	Pseudomonas graminis	158627
GCF_002393445.1	Cedecea neteri	158822
GCF_900635955.1	Cedecea lapagei	158823
GCF_900478135.1	Leminorella richardii	158841
GCF_900187035.1	Megamonas hypermegale	158847
GCF_001020485.1	Moellerella wisconsensis	158849
GCF_900455105.1	Providencia rustigianii	158850
GCF_900460805.1	Yokenella regensburgei	158877
GCF_900099775.1	Rhizobium mongolense subsp. loessense	158890
GCF_013087605.1	Rhizobium indigoferae	158891
GCF_014644515.1	Pseudarthrobacter scleromae	158897
GCF_900105725.1	Gordonia westfalica	158898
GCF_001584145.1	Collimonas fungivorans	158899
GCF_000012425.1	Dechloromonas aromatica RCB	159087
GCF_000717475.1	Desulfonatronum thiodismutans	159290
GCF_900156105.1	Alkalispirochaeta americana	159291
GCF_900107405.1	Tindallia californiensis	159292
GCF_000785435.2	Paraburkholderia sacchari	159450
GCF_014269395.1	Megasphaera hominis	159836
GCF_900163675.1	Corynebacterium casei	160386
GCF_003634775.1	Chryseobacterium defluvii	160396
GCF_004342665.1	Samsonia erythrinae	160434
GCF_000754095.2	Acidihalobacter prosperus	160660
GCF_005144425.1	Agrobacterium larrymoorei	160699
GCF_000758665.1	Paenibacillus borealis	160799
GCF_014076495.1	Comamonas koreensis	160825
GCF_000746255.1	Thermodesulfobacterium hydrogeniphilum	161156
GCF_001653075.1	Planomonospora sphaerica	161355
GCF_001528665.1	Microtetraspora malaysiensis	161358
GCF_001444405.1	Pseudoalteromonas phenolica	161398
GCF_001038485.1	Ornithinibacillus californiensis	161536
GCF_001941565.1	Corynebacterium phocae	161895
GCF_000980815.1	Corynebacterium camporealensis	161896
GCF_000833575.1	Corynebacterium singulare	161899
GCF_002289575.1	Dietzia natronolimnaea	161920
GCF_001596815.1	Pseudoalteromonas spiralis	162157
GCF_001596795.1	Pseudoalteromonas telluritireducens	162160
GCF_001465255.1	Paenibacillus naphthalenovorans	162209
GCF_014725695.1	Microbacterium hominis	162426
GCF_006094275.1	Glutamicibacter creatinolyticus	162496
GCF_900104735.1	Pseudomonas lini	163011
GCF_003333315.1	Acidiferrobacter thiooxydans	163359
GCF_002224365.1	Virgibacillus necropolis	163877
GCF_001419795.1	Streptomyces niveiscabiei	164115
GCF_003148775.1	Roseicyclus mahoneyensis	164332
GCF_006715785.1	Streptomyces puniciscabiei	164348
GCF_003268615.1	Blattabacterium clevelandi	164516
GCF_003755025.1	Diaphorobacter nitroreducens	164759
GCF_002214645.1	Diaphorobacter nitroreducens	164759
GCF_000167195.1	Crocosphaera watsonii WH 8501	165597
GCF_004349435.1	Sporanaerobacter acetigenes	165813
GCF_003609595.1	Caminicella sporogenes	166485
GCF_003633755.1	Solirubrobacter pauli	166793
GCF_000026085.1	Pseudoalteromonas translucida	166935
GCF_007992055.1	Companilactobacillus mindensis	167481
GCF_000007925.1	Prochlorococcus marinus subsp. marinus str. CCMP1375	167539
GCF_009469695.1	Propionivibrio limicola	167645
GCF_000012325.1	Colwellia psychrerythraea 34H	167879
GCF_900101735.1	Rhodococcus tukisamuensis	168276
GCF_900102475.1	Marvinbryantia formatexigens	168384
GCF_900105935.1	Pseudomonas costantinii	168469
GCF_003386075.1	Citricoccus muralis	169134
GCF_003330825.1	Paraburkholderia terricola	169427
GCF_900167965.1	Paraburkholderia hospita	169430
GCF_015554285.1	Anaerotruncus colihominis	169435
GCF_900104365.1	Pseudomonas extremorientalis	169669
GCF_000758685.1	Paenibacillus stellifer	169760
GCF_010731535.1	Mycobacterium lacus	169765
GCF_009192735.1	Arthrobacter gandavensis	169960
GCF_000196035.1	Listeria monocytogenes EGD-e	169963
GCF_003994475.1	Paenibacillus anaericanus	170367
GCF_002307495.1	Pseudomonas abyssi	170540
GCF_002208805.2	Staphylococcus pettenkoferi	170573
GCF_900108965.1	Azotobacter beijerinckii	170623
GCF_000967495.1	Vibrio neptunius	170651
GCF_001995825.2	Vibrio kanaloae	170673
GCF_005281815.1	Vibrio chagasii	170679
GCF_002871875.1	Brevibacterium paucivorans	170994
GCF_000952855.1	Aequorivita vladivostokensis	171194
GCF_003285065.1	Mycoplasmopsis anatis	171279
GCF_000733865.1	Mycoplasma buteonis	171280
GCF_900660645.1	Mycoplasmopsis citelli	171281
GCF_900660675.1	Mycoplasmopsis columboralis	171282
GCF_900660545.1	Mycoplasmopsis cynos	171284
GCF_900660605.1	Mycoplasmopsis glycophila	171285
GCF_004365095.1	Mycoplasmopsis mustelae	171289
GCF_900167035.1	Mycoplasmopsis verecunda	171291
GCF_013114105.1	Vibrio hepatarius	171383
GCF_003112455.1	Paenibacillus agaridevorans	171404
GCF_003583285.1	Oceanobacillus picturae	171693
GCF_009938015.1	Sulfuriferula plumbiphila	171865
GCF_900637985.1	Rothia aeria	172042
GCF_000813765.1	Brevundimonas nasdae	172043
GCF_014199595.1	Sphingomonas yabuuchiae	172044
GCF_009938095.1	Elizabethkingia miricola	172045
GCF_002240415.1	Paenibacillus kribbensis	172713
GCF_003574045.1	Meiothermus taiwanensis	172827
GCF_003096415.1	Victivallis vadensis	172901
GCF_002846495.1	Phycicoccus duodecadis	173053
GCF_003994255.1	Brachybacterium paraconglomeratum	173362
GCF_002205635.1	Sphingopyxis witflariensis	173675
GCF_014196055.1	Novosphingobium hassiacum	173676
GCF_002150845.1	Streptomyces alboverticillatus	173770
GCF_013394065.1	Streptomyces rectiverticillatus	173860
GCF_003710915.1	Brevibacillus invocatus	173959
GCF_900108485.1	Rheinheimera pacifica	173990
GCF_900102725.1	Carnobacterium viridans	174587
GCF_004565465.1	Lentibacillus salicampi	175306
GCF_900683595.1	Gordonia paraffinivorans	175628
GCF_000767835.1	Streptococcus sinensis	176090
GCF_003668795.1	Pseudoalteromonas agarivorans	176102
GCF_008033155.1	Secundilactobacillus malefermentans	176292
GCF_010093135.1	Pseudoxanthomonas taiwanensis	176598
GCF_900100155.1	Ancylobacter rudongensis	177413
GCF_000020365.1	Desulforapulum autotrophicum HRM2	177437
GCF_000025945.1	Desulfotalea psychrophila LSv54	177439
GCF_001746855.1	Pauljensenia hongkongensis	178339
GCF_003176895.1	Gracilibacillus dipsosauri	178340
GCF_900099915.1	Flavobacterium omnivorum	178355
GCF_900142885.1	Flavobacterium xinjiangense	178356
GCF_013372285.1	Marinomonas primoryensis	178399
GCF_014252945.1	Streptomyces mexicanus	178566
GCF_900198525.1	Leptospirillum ferriphilum	178606
GCF_002156865.1	Gottfriedia luciferensis	178774
GCF_003054495.1	Carboxydocella thermautotrophica	178899
GCF_001580535.1	Acetobacter cerevisiae	178900
GCF_001580615.1	Acetobacter malorum	178901
GCF_011759705.1	Microbacterium ulmi	179095
GCF_000317475.1	Oscillatoria nigro-viridis PCC 7112	179408
GCF_014635065.1	Oxalicibacterium flavum	179467
GCF_012530715.1	Alicycliphilus denitrificans	179636
GCF_014201115.1	Nocardiopsis metallicus	179819
GCF_003634125.1	Sphingomonas elodea	179878
GCF_902498995.1	Burkholderia anthina	179879
GCF_900445255.1	Anaerobiospirillum thomasii	179995
GCF_900167275.1	Cetobacterium ceti	180163
GCF_013304825.1	Blautia schinkii	180164
GCF_001189915.1	Herbaspirillum autotrophicum	180195
GCF_900111115.1	Giesbergeria anulus	180197
GCF_001753225.1	Delftia tsuruhatensis	180282
GCF_900096675.1	Robinsoniella peoriensis	180332
GCF_003987645.1	Vagococcus elongatus	180344
GCF_003634755.1	Flavobacterium limicola	180441
GCF_016107575.1	Psychrobacter faecalis	180588
GCF_009873295.1	Pectobacterium brasiliense	180957
GCF_014138665.1	Actinomadura namibiensis	182080
GCF_000007205.1	Chlamydia pneumoniae TW-183	182082
GCF_014635025.1	Fictibacillus barbaricus	182136
GCF_012910705.1	Aromatoleum anaerobium	182180
GCF_009932395.1	Sporotomaculum syntrophicum	182264
GCF_002285495.1	Clostridium isatidis	182773
GCF_007988945.1	Swaminathania salitolerans	182838
GCF_000007245.1	Xylella fastidiosa Temecula1	183190
GCF_004116975.1	Proteus hauseri	183417
GCF_002837135.1	Macromonas bipunctata	183670
GCF_000826685.1	Streptomonospora alba	183763
GCF_900106005.1	Pseudomonas mediterranea	183795
GCF_003206155.1	Salinicola halophilus	184065
GCF_900199195.1	Paracoccus seriniphilus	184748
GCF_009858255.1	Nocardia caishijiensis	184756
GCF_012641725.1	Pseudoalteromonas maricaloris	184924
GCF_004337705.1	Rubrobacter taiwanensis	185139
GCF_002563675.1	Propionicimonas paludicola	185243
GCF_010730575.1	Mycobacterium parmense	185642
GCF_011758765.1	Amycolatopsis viridis	185678
GCF_011758745.1	Amycolatopsis granulosa	185684
GCF_014653945.1	Amycolatopsis deserti	185696
GCF_900113445.1	Corynebacterium spheniscorum	185761
GCF_003050705.1	Sphingomonas aurantiaca	185949
GCF_003053745.1	Sphingomonas faeni	185950
GCF_003046295.1	Sphingomonas aerolata	185951
GCF_900111865.1	Parageobacillus thermantarcticus	186116
GCF_004345825.1	Tenacibaculum skagerrakense	186571
GCF_003350535.1	Microvirga subterranea	186651
GCF_013415125.1	Halomonas glaciei	186761
GCF_000973085.1	Sneathia vaginalis	187101
GCF_000014785.1	Alkalilimnicola ehrlichii MLHE-1	187272
GCF_902381715.1	Acidaminococcus intestini	187327
GCF_002287505.1	Corynebacterium glaucum	187491
GCF_900102625.1	Acidovorax valerianellae	187868
GCF_001404615.1	Mitsuokella jalaludinii	187979
GCF_003336705.1	Marinobacter litoralis	187981
GCF_003385185.1	Amycolatopsis palatopharyngis	187982
GCF_900537165.1	Enterovibrio norvegicus	188144
GCF_003428925.1	Streptomyces koyangensis	188770
GCF_900177645.1	Arenibacter troitsensis	188872
GCF_900109285.1	Jannaschia helgolandensis	188906
GCF_002101585.1	Mycolicibacter engbaekii	188915
GCF_003259615.1	Pedobacter cryoconitis	188932
GCF_001274775.1	Rossellomorea marisflavi	189381
GCF_000758705.1	Paenibacillus graminis	189425
GCF_000758725.1	Paenibacillus odorifer	189426
GCF_010894335.1	Paenibacillus elgii	189691
GCF_003101015.1	Actinobacillus porcitonsillarum	189834
GCF_011761565.1	Rhizomicrobium palustre	189966
GCF_002872015.1	Actinotignum urinale	190146
GCF_001693515.2	Bradyrhizobium paxllaeri	190148
GCF_004349055.1	Kribbella antibiotica	190195
GCF_014202895.1	Lactovum miscens	190387
GCF_900461525.1	Legionella busanensis	190655
GCF_001663855.1	Ralstonia insidiosa	190721
GCF_013266665.1	Vibrio coralliilyticus	190893
GCF_002214395.1	Vibrio rotiferianus	190895
GCF_000470885.1	Rhodococcus aetherivorans	191292
GCF_900105975.1	Pseudomonas palleroniana	191390
GCF_013386885.1	Pseudomonas salomonii	191391
GCF_002934445.1	Nonlabens xylanidelens	191564
GCF_000732945.1	Corynebacterium atypicum	191610
GCF_007989385.1	Marinilactibacillus psychrotolerans	191770
GCF_004341915.1	Chthoniobacter flavus	191863
GCF_000009085.1	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	192222
GCF_003729955.1	Chryseobacterium daecheongense	192389
GCF_014048085.1	Planococcus maritimus	192421
GCF_001687625.2	Planococcus maritimus	192421
GCF_004296255.1	Qipengyuania flava	192812
GCF_004684905.1	Halobacillus salinus	192814
GCF_900141855.1	Pseudozobellia thermophila	192903
GCF_900103215.1	Kriegella aquimaris	192904
GCF_006788895.1	Rhodoglobus vestalii	193384
GCF_000725495.1	Streptomyces aureus	193461
GCF_001723055.1	Streptomyces niveus	193462
GCF_014054525.1	Alysiella filiformis	194196
GCF_900453685.1	Neisseria dentiae	194197
GCF_000006985.1	Chlorobaculum tepidum TLS	194439
GCF_003112595.1	Streptomyces rubrogriseus	194673
GCF_900460955.1	Cardiobacterium valvarum	194702
GCF_001889105.1	Sinorhizobium americanum	194963
GCF_900108515.1	Halobacillus karajensis	195088
GCF_000013285.1	Clostridium perfringens ATCC 13124	195103
GCF_004328555.1	Haematobacter massiliensis	195105
GCF_900114485.1	Loktanella salsilacus	195913
GCF_001306015.1	Aeromonas dhakensis	196024
GCF_000011305.1	Corynebacterium efficiens YS-314	196164
GCF_013761015.1	Anoxybacillus kamchatkensis	196180
GCF_001544455.2	Caballeronia sordidicola	196367
GCF_002927635.1	Albidovulum inexpectatum	196587
GCF_000011345.1	Thermosynechococcus vestitus BP-1	197221
GCF_001907205.1	Pseudovibrio exalbescens	197461
GCF_001709345.1	Terasakiispira papahanaumokuakeensis	197479
GCF_003346755.1	Malaciobacter halophilus	197482
GCF_900475885.1	Haemophilus aegyptius	197575
GCF_900478025.1	Streptococcus pasteurianus	197614
GCF_900141905.1	Roseomonas rosea	198092
GCF_014490445.1	Roseomonas ludipueritiae	198093
GCF_013347305.1	Paenibacillus barcinonensis	198119
GCF_000006925.2	Shigella flexneri 2a str. 301	198214
GCF_900143235.1	Erythrobacter sanguineus	198312
GCF_001187595.1	Anoxybacillus gonensis	198467
GCF_003217155.1	Psychrobacter fozii	198480
GCF_014192115.1	Psychrobacter luti	198481
GCF_014634985.1	Macrococcus hajekii	198482
GCF_004359615.1	Macrococcus brunensis	198483
GCF_004359545.1	Macrococcus lamae	198484
GCF_900103845.1	Pseudomonas jinjuensis	198616
GCF_012647205.1	Pseudomonas umsongensis	198618
GCF_900101415.1	Pseudomonas koreensis	198620
GCF_000147055.1	Dickeya dadantii 3937	198628
GCF_900215515.1	Persephonella hydrogeniphila	198703
GCF_003569005.1	Vibrio superstes	198815
GCF_009193255.1	Arthrobacter koreensis	199136
GCF_011462075.1	Brevibacterium luteolum	199591
GCF_900105335.1	Microbacterium paraoxydans	199592
GCF_900167175.1	Plantibacter cousiniae	199709
GCF_002897375.1	Deinococcus aerius	200253
GCF_012910785.1	Aromatoleum buckelii	200254
GCF_900100955.1	Lentzea fradiae	200378
GCF_003350445.1	Lentzea flaviverrucosa	200379
GCF_900104885.1	Pseudomonas trivialis	200450
GCF_001730605.1	Pseudomonas poae	200451
GCF_000737225.1	Pseudomonas congelans	200452
GCF_000452765.1	Pseudomonas tremae	200454
GCF_004152935.1	Brumimicrobium glaciale	200475
GCF_009720755.1	Rhodoplanes serenus	200615
GCF_013408525.1	Nocardioides aromaticivorans	200618
GCF_003315295.1	Paraliobacillus ryukyuensis	200904
GCF_003044065.1	Alkalicoccus saliphilus	200989
GCF_001465795.2	Planococcus rifietoensis	200991
GCF_900113175.1	Planifilum fulgidum	201973
GCF_003001905.1	Planifilum fimeticola	201975
GCF_007989725.1	Kurthia sibirica	202750
GCF_000763515.1	Listeria ivanovii subsp. ivanovii	202751
GCF_001457435.1	Actinobaculum massiliense	202789
GCF_000801145.1	Actinobacillus equuli subsp. equuli	202947
GCF_000759995.1	Acinetobacter tjernbergiae	202955
GCF_000760575.1	Acinetobacter towneri	202956
GCF_000013665.1	Saccharophagus degradans 2-40	203122
GCF_000014265.1	Trichodesmium erythraeum IMS101	203124
GCF_000007485.1	Tropheryma whipplei str. Twist	203267
GCF_004339025.1	Volucribacter psittacicida	203482
GCF_000808575.1	Alteromonas marina	203795
GCF_003403135.1	Dickeya dianthicola	204039
GCF_002887555.1	Dickeya zeae	204042
GCF_004682015.1	Ramlibacter henchirensis	204072
GCF_000021545.1	Sulfurihydrogenibium azorense Az-Fu1	204536
GCF_000007505.1	Brucella suis 1330	204722
GCF_900105565.1	Nitratireductor aquibiodomus	204799
GCF_004134825.1	Agromyces albus	205332
GCF_002797685.1	Salinibacterium amurskyense	205941
GCF_004104015.1	Actinomyces oricola	206043
GCF_000987835.1	Sulfurovum lithotrophicum	206403
GCF_004551665.1	Kerstersia gyiorum	206506
GCF_900104045.1	Desulfonauticus submarinus	206665
GCF_900455935.1	Roseomonas mucosa	207340
GCF_000012665.1	Oleidesulfovibrio alaskensis G20	207559
GCF_012295615.1	Bermanella marisrubri	207949
GCF_000153345.1	Neptuniibacter caesariensis	207954
GCF_005144865.1	Pseudalkalibacillus hwajinpoensis	208199
GCF_004089895.1	Kosakonia cowanii	208223
GCF_015704325.1	Enterobacter kobei	208224
GCF_000732925.1	Amycolatopsis japonica	208439
GCF_000716785.1	Amycolatopsis vancoresmycina	208444
GCF_900105945.1	Amycolatopsis tolypomycina	208445
GCF_002234575.2	Enterocloster bolteae	208479
GCF_001907295.1	Bowdeniella nasicola	208480
GCF_015478145.1	Nocardia puris	208602
GCF_001549955.1	Escherichia albertii	208962
GCF_000006765.1	Pseudomonas aeruginosa PAO1	208964
GCF_002930185.1	Williamsoniiplasma lucivorax	209274
GCF_001636425.1	Bacillus acidicola	209389
GCF_900103425.1	Allisonella histaminiformans	209880
GCF_900103775.1	Allokutzneria albata	211114
GCF_001375615.1	Paenarthrobacter nitroguajacolicus	211146
GCF_000317285.1	Chlorogloeopsis fritschii PCC 6912	211165
GCF_014203115.1	Afipia massiliensis	211460
GCF_013267215.1	Shewanella oneidensis MR-1	211586
GCF_013248965.1	Psychrobacter okhotskensis	212403
GCF_009569385.1	Streptomyces kaniharaensis	212423
GCF_006333845.1	Vibrio tasmaniensis	212663
GCF_000695685.1	Vibrio fortis	212667
GCF_000007625.1	Clostridium tetani E88	212717
GCF_010729665.1	Mycolicibacterium madagascariense	212765
GCF_008124615.1	Geothermobacter ehrlichii	213224
GCF_003253545.1	Mesonia algae	213248
GCF_014678925.1	Geobacillus zalihae	213419
GCF_014193375.1	Halomonas campaniensis	213554
GCF_900129205.1	Thermomonas hydrothermalis	213588
GCF_000210095.1	Ruminococcus champanellensis 18P13 = JCM 17042	213810
GCF_900458695.1	Staphylococcus nepalensis	214473
GCF_901538385.1	Gemmata obscuriglobus UQM 2246	214688
GCF_015557985.1	Alistipes finegoldii	214856
GCF_002803985.1	Williamsoniiplasma luminosum	214888
GCF_003012055.1	Peptostreptococcus russellii	215200
GCF_003207895.1	Komagataeibacter swingsii	215220
GCF_011611525.1	Komagataeibacter rhaeticus	215221
GCF_002804005.1	Williamsoniiplasma somnilux	215578
GCF_015476235.1	Caldimonas thermodepolymerans	215580
GCF_006476605.1	Brucella gallinifaecis	215590
GCF_005862345.1	Thermomonas fusca	215690
GCF_014395425.1	Thermomonas brevis	215691
GCF_002994635.1	Enhygromyxa salina	215803
GCF_000761155.1	Pseudomonas rhizosphaerae	216142
GCF_002290085.1	Mesoplasma chauliocola	216427
GCF_000196315.1	Croceibacter atlanticus HTCC2559	216432
GCF_000965255.1	Levilactobacillus spicheri	216463
GCF_000661955.1	Stenotrophomonas rhizophila	216778
GCF_004936435.1	Bifidobacterium longum	216816
GCF_002930145.1	Mesoplasma corruscae	216874
GCF_900142325.1	Epilithonimonas mollis	216903
